date,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyWindSpeed,HourlyWindDirection,HourlyDewPointTemperature
2010-01-01 06:03:00,41.0,76.0,9.0,310.0,34.0
2010-01-01 06:40:00,41.0,76.0,9.0,310.0,34.0
2010-01-01 07:40:00,39.0,81.0,7.0,330.0,34.0
2010-01-01 08:46:00,41.0,81.0,7.0,320.0,36.0
2010-01-01 09:40:00,45.0,66.0,11.0,350.0,34.0
2010-01-01 10:44:00,48.0,58.0,9.0,330.0,34.0
2010-01-01 11:40:00,50.0,54.0,6.0,30.0,34.0
2010-01-01 12:40:00,54.0,54.0,0.0,0.0,37.0
2010-01-01 13:41:00,55.0,41.0,0.0,0.0,32.0
2010-01-01 14:40:00,59.0,36.0,0.0,0.0,32.0
2010-01-01 15:43:00,59.0,36.0,0.0,0.0,32.0
2010-01-01 16:41:00,61.0,34.0,0.0,0.0,32.0
2010-01-01 17:43:00,57.0,36.0,0.0,0.0,30.0
2010-01-01 18:48:00,54.0,44.0,0.0,0.0,32.0
2010-01-01 19:40:00,52.0,50.0,0.0,0.0,34.0
2010-01-02 06:02:00,37.0,81.0,0.0,0.0,32.0
2010-01-02 06:43:00,36.0,100.0,0.0,0.0,36.0
2010-01-02 07:41:00,36.0,93.0,0.0,0.0,34.0
2010-01-02 08:40:00,41.0,87.0,0.0,0.0,37.0
2010-01-02 09:40:00,46.0,76.0,0.0,0.0,39.0
2010-01-02 10:40:00,50.0,82.0,0.0,0.0,45.0
2010-01-02 11:48:00,55.0,63.0,7.0,130.0,43.0
2010-01-02 12:40:00,59.0,59.0,7.0,160.0,45.0
2010-01-02 13:40:00,59.0,55.0,0.0,0.0,43.0
2010-01-02 14:41:00,61.0,52.0,7.0,120.0,43.0
2010-01-02 15:41:00,59.0,51.0,0.0,0.0,41.0
2010-01-02 16:41:00,59.0,51.0,8.0,180.0,41.0
2010-01-02 17:43:00,59.0,55.0,0.0,0.0,43.0
2010-01-02 18:40:00,57.0,59.0,0.0,0.0,43.0
2010-01-02 20:40:00,55.0,67.0,0.0,0.0,45.0
2010-01-03 06:01:00,52.0,88.0,5.0,40.0,48.0
2010-01-03 06:42:00,52.0,88.0,6.0,50.0,48.0
2010-01-03 07:41:00,52.0,82.0,0.0,0.0,46.0
2010-01-03 08:42:00,52.0,82.0,0.0,0.0,46.0
2010-01-03 10:43:00,55.0,77.0,6.0,360.0,48.0
2010-01-03 11:43:00,59.0,72.0,6.0,30.0,50.0
2010-01-03 12:41:00,61.0,68.0,7.0,10.0,50.0
2010-01-03 13:41:00,63.0,68.0,11.0,20.0,52.0
2010-01-03 14:45:00,63.0,68.0,6.0,40.0,52.0
2010-01-03 15:44:00,63.0,68.0,7.0,10.0,52.0
2010-01-03 16:40:00,61.0,72.0,9.0,20.0,52.0
2010-01-03 17:40:00,59.0,72.0,9.0,40.0,50.0
2010-01-03 18:40:00,57.0,77.0,7.0,50.0,50.0
2010-01-03 19:40:00,55.0,82.0,8.0,30.0,50.0
2010-01-04 06:00:00,50.0,76.0,7.0,50.0,43.0
2010-01-04 06:41:00,50.0,76.0,9.0,40.0,43.0
2010-01-04 07:41:00,48.0,82.0,7.0,50.0,43.0
2010-01-04 09:00:00,48.0,76.0,7.0,60.0,41.0
2010-01-04 09:41:00,50.0,71.0,8.0,30.0,41.0
2010-01-04 10:43:00,48.0,76.0,7.0,40.0,41.0
2010-01-04 11:11:00,50.0,67.0,11.0,50.0,39.0
2010-01-04 11:42:00,52.0,67.0,9.0,40.0,41.0
2010-01-04 12:45:00,54.0,67.0,7.0,40.0,43.0
2010-01-04 13:45:00,55.0,55.0,11.0,30.0,39.0
2010-01-04 14:51:00,57.0,51.0,14.0,40.0,39.0
2010-01-04 15:44:00,57.0,51.0,7.0,30.0,39.0
2010-01-04 16:41:00,57.0,51.0,7.0,30.0,39.0
2010-01-04 17:43:00,57.0,51.0,6.0,30.0,39.0
2010-01-04 18:43:00,54.0,54.0,6.0,60.0,37.0
2010-01-04 19:43:00,50.0,58.0,7.0,70.0,36.0
2010-01-04 20:41:00,48.0,50.0,7.0,110.0,30.0
2010-01-04 21:45:00,46.0,62.0,6.0,90.0,34.0
2010-01-05 06:04:00,39.0,75.0,6.0,140.0,32.0
2010-01-05 06:41:00,39.0,75.0,6.0,130.0,32.0
2010-01-05 07:40:00,37.0,81.0,7.0,120.0,32.0
2010-01-05 08:40:00,41.0,66.0,0.0,0.0,30.0
2010-01-05 09:40:00,45.0,66.0,6.0,90.0,34.0
2010-01-05 10:47:00,46.0,57.0,0.0,0.0,32.0
2010-01-05 11:44:00,50.0,50.0,0.0,0.0,32.0
2010-01-05 12:40:00,52.0,50.0,8.0,170.0,34.0
2010-01-05 13:45:00,54.0,44.0,7.0,140.0,32.0
2010-01-05 14:45:00,54.0,47.0,6.0,180.0,34.0
2010-01-05 15:40:00,54.0,47.0,9.0,180.0,34.0
2010-01-05 16:42:00,54.0,47.0,7.0,170.0,34.0
2010-01-05 17:43:00,52.0,50.0,7.0,200.0,34.0
2010-01-05 18:44:00,52.0,62.0,7.0,180.0,39.0
2010-01-05 19:42:00,52.0,62.0,0.0,0.0,39.0
2010-01-06 06:06:00,50.0,76.0,0.0,0.0,43.0
2010-01-06 06:43:00,50.0,88.0,0.0,0.0,46.0
2010-01-06 07:39:00,48.0,94.0,0.0,0.0,46.0
2010-01-06 08:00:00,48.0,94.0,0.0,0.0,46.0
2010-01-06 08:44:00,48.0,94.0,0.0,0.0,46.0
2010-01-06 09:40:00,50.0,88.0,0.0,0.0,46.0
2010-01-06 10:45:00,52.0,88.0,0.0,0.0,48.0
2010-01-06 11:49:00,55.0,77.0,0.0,0.0,48.0
2010-01-06 12:40:00,59.0,72.0,0.0,0.0,50.0
2010-01-06 13:42:00,63.0,56.0,7.0,170.0,46.0
2010-01-06 14:45:00,64.0,49.0,7.0,130.0,45.0
2010-01-06 15:40:00,64.0,49.0,6.0,180.0,45.0
2010-01-06 16:44:00,66.0,56.0,7.0,170.0,50.0
2010-01-06 17:41:00,64.0,56.0,7.0,180.0,48.0
2010-01-06 18:41:00,61.0,68.0,7.0,160.0,50.0
2010-01-06 19:40:00,59.0,72.0,0.0,0.0,50.0
2010-01-07 06:06:00,50.0,100.0,7.0,330.0,50.0
2010-01-07 06:43:00,50.0,100.0,9.0,330.0,50.0
2010-01-07 07:45:00,52.0,100.0,14.0,340.0,52.0
2010-01-07 08:20:00,50.0,100.0,11.0,350.0,50.0
2010-01-07 08:40:00,50.0,100.0,14.0,340.0,50.0
2010-01-07 09:42:00,52.0,88.0,14.0,350.0,48.0
2010-01-07 10:45:00,48.0,76.0,14.0,10.0,41.0
2010-01-07 11:45:00,45.0,76.0,11.0,350.0,37.0
2010-01-07 12:42:00,45.0,66.0,14.0,350.0,34.0
2010-01-07 13:46:00,45.0,61.0,14.0,360.0,32.0
2010-01-07 14:42:00,46.0,62.0,14.0,340.0,34.0
2010-01-07 15:43:00,46.0,62.0,11.0,350.0,34.0
2010-01-07 16:42:00,46.0,50.0,14.0,350.0,28.0
2010-01-07 17:41:00,46.0,43.0,14.0,330.0,25.0
2010-01-07 18:42:00,46.0,43.0,14.0,340.0,25.0
2010-01-07 19:43:00,43.0,53.0,9.0,10.0,27.0
2010-01-08 06:06:00,32.0,47.0,9.0,10.0,14.0
2010-01-08 06:43:00,32.0,47.0,14.0,10.0,14.0
2010-01-08 07:40:00,32.0,55.0,9.0,10.0,18.0
2010-01-08 09:42:00,32.0,47.0,14.0,10.0,14.0
2010-01-08 10:40:00,34.0,44.0,9.0,350.0,14.0
2010-01-08 11:47:00,36.0,35.0,11.0,320.0,10.0
2010-01-08 12:40:00,37.0,60.0,11.0,350.0,25.0
2010-01-08 13:42:00,37.0,41.0,14.0,350.0,16.0
2010-01-08 14:41:00,39.0,75.0,11.0,340.0,32.0
2010-01-08 15:41:00,39.0,45.0,11.0,360.0,19.0
2010-01-08 16:41:00,39.0,45.0,9.0,350.0,19.0
2010-01-08 17:41:00,37.0,52.0,6.0,20.0,21.0
2010-01-08 18:42:00,37.0,52.0,7.0,10.0,21.0
2010-01-08 19:40:00,36.0,52.0,6.0,30.0,19.0
2010-01-08 20:46:00,36.0,56.0,7.0,350.0,21.0
2010-01-08 21:40:00,32.0,69.0,5.0,340.0,23.0
2010-01-08 22:41:00,30.0,47.0,0.0,0.0,12.0
2010-01-09 06:00:00,25.0,69.0,0.0,0.0,16.0
2010-01-09 06:46:00,25.0,69.0,0.0,0.0,16.0
2010-01-09 07:42:00,23.0,100.0,0.0,0.0,23.0
2010-01-09 08:41:00,27.0,80.0,0.0,0.0,21.0
2010-01-09 09:42:00,32.0,64.0,0.0,0.0,21.0
2010-01-09 10:45:00,37.0,56.0,0.0,0.0,23.0
2010-01-09 11:44:00,39.0,75.0,0.0,0.0,32.0
2010-01-09 12:40:00,46.0,27.0,7.0,130.0,14.0
2010-01-09 13:40:00,48.0,23.0,0.0,0.0,12.0
2010-01-09 14:43:00,52.0,24.0,6.0,120.0,16.0
2010-01-09 15:42:00,54.0,30.0,0.0,0.0,23.0
2010-01-09 16:42:00,55.0,24.0,7.0,120.0,19.0
2010-01-09 17:42:00,52.0,26.0,0.0,0.0,18.0
2010-01-09 18:41:00,48.0,27.0,0.0,0.0,16.0
2010-01-09 19:43:00,43.0,36.0,7.0,90.0,18.0
2010-01-10 06:42:00,37.0,52.0,0.0,0.0,21.0
2010-01-10 07:40:00,75.54733071806243,60.04970960027332,0.0,0.0,58.40371823298653
2010-01-10 08:44:00,30.0,80.0,0.0,0.0,25.0
2010-01-10 09:42:00,37.0,41.0,0.0,0.0,16.0
2010-01-10 10:42:00,41.0,33.0,6.0,100.0,14.0
2010-01-10 11:46:00,46.0,43.0,0.0,0.0,25.0
2010-01-10 12:42:00,50.0,30.0,0.0,0.0,19.0
2010-01-10 13:41:00,54.0,24.0,7.0,120.0,18.0
2010-01-10 14:42:00,55.0,24.0,7.0,130.0,19.0
2010-01-10 15:40:00,57.0,18.0,7.0,140.0,14.0
2010-01-10 16:41:00,57.0,18.0,7.0,120.0,14.0
2010-01-10 17:45:00,55.0,33.0,9.0,130.0,27.0
2010-01-10 18:45:00,50.0,47.0,6.0,130.0,30.0
2010-01-10 19:40:00,48.0,43.0,7.0,130.0,27.0
2010-01-11 06:02:00,36.0,87.0,0.0,0.0,32.0
2010-01-11 06:41:00,37.0,81.0,0.0,0.0,32.0
2010-01-11 07:41:00,37.0,81.0,0.0,0.0,32.0
2010-01-11 08:44:00,39.0,75.0,0.0,0.0,32.0
2010-01-11 09:41:00,41.0,76.0,6.0,330.0,34.0
2010-01-11 10:41:00,43.0,71.0,0.0,0.0,34.0
2010-01-11 12:00:00,45.0,76.0,0.0,0.0,37.0
2010-01-11 12:42:00,48.0,66.0,0.0,0.0,37.0
2010-01-11 13:40:00,50.0,71.0,0.0,0.0,41.0
2010-01-11 14:42:00,54.0,58.0,0.0,0.0,39.0
2010-01-11 15:42:00,55.0,55.0,0.0,0.0,39.0
2010-01-11 16:43:00,55.0,59.0,0.0,0.0,41.0
2010-01-11 17:43:00,55.0,59.0,0.0,0.0,41.0
2010-01-11 18:49:00,54.0,67.0,0.0,0.0,43.0
2010-01-11 19:52:00,54.0,67.0,0.0,0.0,43.0
2010-01-12 06:00:00,50.0,82.0,0.0,0.0,45.0
2010-01-12 06:42:00,50.0,88.0,0.0,0.0,46.0
2010-01-12 07:45:00,50.0,94.0,6.0,330.0,48.0
2010-01-12 08:41:00,50.0,88.0,0.0,0.0,46.0
2010-01-12 09:04:00,50.0,94.0,0.0,0.0,48.0
2010-01-12 09:46:00,50.0,94.0,0.0,0.0,48.0
2010-01-12 10:50:00,52.0,88.0,0.0,0.0,48.0
2010-01-12 11:44:00,52.0,88.0,0.0,0.0,48.0
2010-01-12 12:43:00,54.0,88.0,0.0,0.0,50.0
2010-01-12 13:42:00,54.0,100.0,0.0,0.0,54.0
2010-01-12 14:43:00,55.0,100.0,5.0,110.0,55.0
2010-01-12 15:42:00,55.0,100.0,0.0,0.0,55.0
2010-01-12 16:23:00,55.0,100.0,5.0,90.0,55.0
2010-01-12 16:47:00,57.0,88.0,5.0,80.0,54.0
2010-01-12 17:44:00,55.0,100.0,5.0,80.0,55.0
2010-01-12 18:06:00,55.0,100.0,5.0,60.0,55.0
2010-01-12 18:45:00,54.0,100.0,7.0,90.0,54.0
2010-01-12 19:46:00,54.0,94.0,7.0,120.0,52.0
2010-01-12 20:04:00,54.0,94.0,9.0,130.0,52.0
2010-01-13 06:00:00,52.0,100.0,0.0,0.0,52.0
2010-01-13 06:48:00,54.0,94.0,0.0,0.0,52.0
2010-01-13 07:43:00,52.0,100.0,0.0,0.0,52.0
2010-01-13 08:00:00,52.0,100.0,0.0,0.0,52.0
2010-01-13 08:16:00,52.0,100.0,0.0,0.0,52.0
2010-01-13 08:40:00,52.0,100.0,0.0,0.0,52.0
2010-01-13 09:14:00,54.0,94.0,0.0,0.0,52.0
2010-01-13 09:40:00,54.0,94.0,0.0,0.0,52.0
2010-01-13 10:40:00,54.0,100.0,0.0,0.0,54.0
2010-01-13 11:47:00,54.0,100.0,0.0,0.0,54.0
2010-01-13 12:43:00,55.0,94.0,0.0,0.0,54.0
2010-01-13 13:42:00,57.0,94.0,0.0,0.0,55.0
2010-01-13 14:43:00,57.0,100.0,5.0,160.0,57.0
2010-01-13 15:06:00,57.0,100.0,11.0,140.0,57.0
2010-01-13 15:40:00,59.0,88.0,9.0,140.0,55.0
