date,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyWindSpeed,HourlyWindDirection,HourlyDewPointTemperature
2010-01-01 00:00:00,59.0,79.0,8.0,200.0,53.0
2010-01-01 01:00:00,59.0,77.0,8.0,180.0,52.0
2010-01-01 02:00:00,57.0,77.0,7.0,180.0,50.0
2010-01-01 03:00:00,56.0,80.0,7.0,180.0,50.0
2010-01-01 04:00:00,55.0,82.0,9.0,180.0,50.0
2010-01-01 05:00:00,54.0,82.0,8.0,170.0,48.0
2010-01-01 06:00:00,55.0,82.0,7.0,190.0,49.0
2010-01-01 07:00:00,61.0,68.0,8.0,180.0,50.0
2010-01-01 08:00:00,68.0,49.0,10.0,130.0,48.0
2010-01-01 09:00:00,72.0,37.0,11.0,130.0,45.0
2010-01-01 10:00:00,77.0,28.0,13.0,140.0,41.0
2010-01-01 11:00:00,79.0,28.0,11.0,160.0,43.0
2010-01-01 12:00:00,84.0,24.0,9.0,120.0,44.0
2010-01-01 13:00:00,84.0,20.0,8.0,160.0,39.0
2010-01-01 14:00:00,88.0,19.0,9.0,150.0,41.0
2010-01-01 15:00:00,89.0,15.0,7.0,180.0,36.0
2010-01-01 16:00:00,88.0,24.0,17.0,210.0,46.0
2010-01-01 17:00:00,84.0,31.0,16.0,210.0,50.0
2010-01-01 18:00:00,80.0,41.0,15.0,200.0,54.0
2010-01-01 19:00:00,77.0,47.0,11.0,200.0,55.0
2010-01-01 20:00:00,72.0,57.0,6.0,210.0,55.0
2010-01-01 21:00:00,70.0,59.0,7.0,190.0,55.0
2010-01-01 22:00:00,68.0,64.0,7.0,190.0,55.0
2010-01-01 23:00:00,66.0,64.0,7.0,190.0,54.0
2010-01-02 00:00:00,71.0,36.0,8.0,140.0,43.0
2010-01-02 00:30:00,73.0,41.0,17.0,100.0,48.0
2010-01-02 01:00:00,72.0,44.0,21.0,90.0,48.0
2010-01-02 02:00:00,68.0,53.0,22.0,100.0,50.0
2010-01-02 03:00:00,66.0,56.0,21.0,90.0,50.0
2010-01-02 04:00:00,64.0,60.0,21.0,90.0,50.0
2010-01-02 05:00:00,64.0,56.0,18.0,90.0,48.0
2010-01-02 06:00:00,65.0,50.0,13.0,100.0,46.0
2010-01-02 07:00:00,68.0,46.0,9.0,150.0,46.0
2010-01-02 08:00:00,73.0,41.0,11.0,100.0,48.0
2010-01-02 09:00:00,77.0,35.0,16.0,100.0,47.0
2010-01-02 10:00:00,82.0,30.0,15.0,90.0,48.0
2010-01-02 11:00:00,86.0,25.0,14.0,100.0,46.0
2010-01-02 12:00:00,90.0,22.0,13.0,100.0,46.0
2010-01-02 13:00:00,95.0,19.0,11.0,120.0,46.0
2010-01-02 14:00:00,97.0,17.0,13.0,120.0,45.0
2010-01-02 15:00:00,97.0,15.0,11.0,110.0,42.0
2010-01-02 16:00:00,97.0,14.0,6.0,70.0,41.0
2010-01-02 17:00:00,99.0,14.0,9.0,70.0,41.0
2010-01-02 18:00:00,97.0,13.0,13.0,60.0,38.0
2010-01-02 19:00:00,95.0,13.0,8.0,100.0,37.0
2010-01-02 20:00:00,84.0,35.0,7.0,210.0,54.0
2010-01-02 21:00:00,79.0,46.0,1.0,200.0,56.0
2010-01-02 21:58:00,88.0,58.88204456094364,17.0,110.0,46.746975806451616
2010-01-02 22:00:00,88.0,13.0,17.0,110.0,32.0
2010-01-02 22:18:00,88.0,13.0,17.0,100.0,30.0
2010-01-02 23:00:00,86.0,13.0,16.0,90.0,30.0
2010-01-02 23:25:00,86.0,11.0,17.0,90.0,27.0
2010-01-03 00:00:00,85.0,12.0,19.0,90.0,27.0
2010-01-03 01:00:00,82.0,15.0,21.0,90.0,30.0
2010-01-03 02:00:00,79.0,26.0,24.0,90.0,41.0
2010-01-03 03:00:00,77.0,28.0,22.0,90.0,41.0
2010-01-03 03:05:00,77.0,28.0,22.0,80.0,41.0
2010-01-03 04:00:00,75.0,29.0,18.0,90.0,41.0
2010-01-03 05:00:00,73.0,31.0,7.0,60.0,41.0
2010-01-03 06:00:00,75.0,29.0,14.0,80.0,40.0
2010-01-03 06:24:00,75.0,27.0,18.0,80.0,39.0
2010-01-03 07:00:00,79.0,23.0,16.0,70.0,37.0
2010-01-03 07:15:00,79.0,21.0,17.0,70.0,36.0
2010-01-03 08:00:00,84.0,18.0,17.0,60.0,36.0
2010-01-03 09:00:00,88.0,15.0,13.0,60.0,34.0
2010-01-03 10:00:00,95.0,11.0,10.0,60.0,34.0
2010-01-03 11:00:00,99.0,10.0,11.0,70.0,32.0
2010-01-03 12:00:00,102.0,9.0,8.0,70.0,33.0
2010-01-03 13:00:00,104.0,9.0,7.0,140.0,34.0
2010-01-03 14:00:00,104.0,9.0,9.0,150.0,34.0
2010-01-03 15:00:00,106.0,9.0,7.0,240.0,35.0
2010-01-03 16:00:00,104.0,11.0,17.0,210.0,39.0
2010-01-03 17:00:00,100.0,12.0,21.0,190.0,39.0
2010-01-03 18:00:00,96.0,14.0,19.0,200.0,39.0
2010-01-03 19:00:00,93.0,14.0,15.0,190.0,37.0
2010-01-03 20:00:00,88.0,15.0,11.0,190.0,34.0
2010-01-03 21:00:00,83.0,20.0,8.0,170.0,38.0
2010-01-03 22:00:00,81.0,23.0,6.0,190.0,39.0
2010-01-03 23:00:00,79.0,24.0,7.0,190.0,39.0
2010-01-04 00:00:00,84.0,26.0,11.0,130.0,46.0
2010-01-04 01:00:00,82.0,26.0,8.0,140.0,45.0
2010-01-04 02:00:00,79.0,28.0,8.0,170.0,43.0
2010-01-04 03:00:00,77.0,29.0,8.0,160.0,42.0
2010-01-04 04:00:00,75.0,34.0,14.0,130.0,45.0
2010-01-04 05:00:00,73.0,41.0,13.0,130.0,48.0
2010-01-04 05:35:00,72.0,47.0,17.0,130.0,50.0
2010-01-04 06:00:00,72.0,47.0,9.0,130.0,50.0
2010-01-04 07:00:00,72.0,50.0,17.0,120.0,52.0
2010-01-04 07:10:00,72.0,50.0,17.0,130.0,52.0
2010-01-04 08:00:00,75.0,41.0,14.0,130.0,50.0
2010-01-04 09:00:00,79.0,36.0,16.0,120.0,50.0
2010-01-04 10:00:00,84.0,31.0,15.0,110.0,50.0
2010-01-04 11:00:00,88.0,25.0,16.0,140.0,48.0
2010-01-04 12:00:00,91.0,23.0,15.0,130.0,48.0
2010-01-04 13:00:00,95.0,19.0,16.0,130.0,46.0
2010-01-04 14:00:00,97.0,16.0,19.0,130.0,43.0
2010-01-04 15:00:00,98.0,15.0,16.0,140.0,43.0
2010-01-04 16:00:00,99.0,15.0,17.0,140.0,43.0
2010-01-04 16:17:00,99.0,14.0,17.0,130.0,41.0
2010-01-04 17:00:00,99.0,14.0,15.0,130.0,41.0
2010-01-04 18:00:00,95.0,15.0,17.0,150.0,40.0
2010-01-04 19:00:00,91.0,18.0,16.0,140.0,43.0
2010-01-04 20:00:00,90.0,18.0,13.0,140.0,41.0
2010-01-04 21:00:00,85.0,25.0,14.0,140.0,45.0
2010-01-04 22:00:00,81.0,30.0,11.0,130.0,46.0
2010-01-04 22:29:00,79.0,34.0,23.0,130.0,48.0
2010-01-04 22:32:00,79.0,34.0,19.0,140.0,48.0
2010-01-04 23:00:00,77.0,36.0,22.0,130.0,48.0
2010-01-05 00:00:00,72.0,44.0,15.0,130.0,49.0
2010-01-05 01:00:00,70.0,50.0,11.0,120.0,50.0
2010-01-05 01:15:00,70.0,50.0,18.0,130.0,50.0
2010-01-05 02:00:00,68.0,53.0,15.0,140.0,50.0
2010-01-05 03:00:00,66.0,57.0,18.0,130.0,51.0
2010-01-05 04:00:00,66.0,56.0,16.0,130.0,50.0
2010-01-05 05:00:00,64.0,60.0,13.0,120.0,50.0
